,caso,fecha,informacion,link,localidad,partido,provincia
314,315, 2003/2012," Condenados tres ex ediles de HB de Gaztelu a tres años de cárcel cada uno por prevaricación y malversación de caudales públicos.
http://elpais.com/diario/2003/11/15/paisvasco/1068928802_850215.html
La oposición de Gaztelu denuncia irregularidades del alcalde de Bildu.
http://www.deia.com/2012/06/06/politica/euskadi/la-oposicion-de-gaztelu-denuncia-irregularidades-del-alcalde-de-bildu
http://www.diariovasco.com/v/20120606/politica/oposicion-denuncia-alcalde-gaztelu-20120606.html",http://elpais.com/diario/2003/11/15/paisvasco/1068928802_850215.html, Gaztelu (Gipuzkoa), HB-EH Bildu, Euskadi
315,316, 2008/2013,"responsable técnico de la Asociación Pas del Camí, Emili Gallardo, nacionalista y candidato independiente del PSM de Sa Pobla, está en prisión incondicional acusado de prevaricación, malversación y fraude. Imputados una diputada del PSM de Mallorca Joana Lluïsa Mascaró y el exconsejero de Turismo de UM Miquel Nadal. Las cantidades  no superan inicialmente los 120.000 en siete expedientes distintos, relacionados con el cobro de subvenciones al senderismo http://politica.elpais.com/politica/2013/03/26/actualidad/1364338405_269918.html",http://politica.elpais.com/politica/2013/03/26/actualidad/1364338405_269918.html, Mallorca, PSM, Islas Baleares
316,317, 2009/2012," Acusado el consejero de Cultura, Turismo y Deporte del Gobierno de Cantabria, Francisco Javier López Marcano (PRC), por prevaricación y tráfico de influencias en la gestión de la cueva de El Soplao por otorgar un contrato a la empresa SIEC a dedo. Las cantidades se dividían en varias facturas con importe en torno o inferior a 30.000€ cada una. Finalmente el TSJC no ve delito en dichas contrataciones http://www.eldiariomontanes.es/v/20110119/cantabria/tsjc-exculpa-forma-definitiva-20110119.html",http://www.eldiariomontanes.es/v/20110119/cantabria/tsjc-exculpa-forma-definitiva-20110119.html, Cantabria, PRC, Cantabria
317,318, 2010," Francisco Javier López Marcano (PRC), número 1 al Senado por Cantabria y ex consejero de Cultura, está acusado de prevaricación por permitir la construcción del Aerogenerador Experimental del Monte Cotío por parte de la empresa danesa Vestas. El proyecto fue rechazado en un principio por ser la zona de interés cultural. El caso está actualmente en la Sala de lo Civil y Penal del Tribunal Superior de Justicia de Cantabria. http://www.eldiariomontanes.es/v/20111025/cantabria/jueza-indicios-prevaricacion-actuacion-20111025.html",http://www.eldiariomontanes.es/v/20111025/cantabria/jueza-indicios-prevaricacion-actuacion-20111025.html, Cantabria, PRC, Cantabria
318,319, 2013," La Audiencia Provincial de Cádiz ha condenado al histórico político andaluz Pedro Pacheco, exalcalde de Jerez, a cuatro años y medio de prisión y ocho de inhabilitación. http://ccaa.elpais.com/ccaa/2013/05/14/andalucia/1368523723_849609.html",http://ccaa.elpais.com/ccaa/2013/05/14/andalucia/1368523723_849609.html, Jerez de la Frontera, PSA, Cádiz
319,320, 2013," Detenido el alcalde, Josep Maria Torrens Ferrer, por fraude http://www.abc.es/agencias/noticia.asp?noticia=1445227",http://www.abc.es/agencias/noticia.asp?noticia=1445227, S.Maria de Miralles, CIU, Barcelona
320,321, 2013," El alcalde de Granada, imputado por prevaricación. El juez de instrucción llama a declarar a José Torres Hurtado (PP) por conmutar la deuda de dos promotores a cambio de solares destinados al Palacio de Hielo. http://www.eldiario.es/andalucia/Granada-favorecer-implicados-Palacio-Hielo_0_149435324.html",http://www.eldiario.es/andalucia/Granada-favorecer-implicados-Palacio-Hielo_0_149435324.html, Granada, PP, Granada
321,322, 2014," El alcalde de Manchones, Jesús Pardillos, condenado a 9 años de inhabilitación y 136000 euros de indemnización,  por prevaricación.http://www.elperiodicodearagon.com/noticias/aragon/alcalde-condenado-9-anos-inhabilitacion_949141.html",http://www.elperiodicodearagon.com/noticias/aragon/alcalde-condenado-9-anos-inhabilitacion_949141.html, Manchones, PAR, Aragón
322,323, 2014," El alcalde de Tolox, D. Juan Vera Vera, condenado a 1 año de prisión por delito contra la ordenación del territorio. http://noticias.lainformacion.com/policia-y-justicia/juicios/condenado-a-un-ano-de-carcel-el-alcalde-de-tolox-por-delito-contra-la-ordenacion-del-territorio_NyA7XbysikuotlsfFc1or2/",http://noticias.lainformacion.com/policia-y-justicia/juicios/condenado-a-un-ano-de-carcel-el-alcalde-de-tolox-por-delito-contra-la-ordenacion-del-territorio_NyA7XbysikuotlsfFc1or2/, Tolox, CA, Málaga
323,324, 2013," La Audiencia condena al alcalde de Arroyo, D. Jose Manuel Méndez, a 3 años de prisión por cohecho. El alcalde se niega a dimitir http://www.elnortedecastilla.es/20131122/local/valladolid/caso-arroyo-201311221018.html",http://www.elnortedecastilla.es/20131122/local/valladolid/caso-arroyo-201311221018.html, Arroyo, PP, Valladolid
324,325, 2014," Condenado el alcalde de Monterrubio, D. Antonio Blázquez, y otros 5 ediles, por prevaricación. http://www.elperiodicoextremadura.com/noticias/provinciabadajoz/alcalde-monterrubio-condenado-prevaricacion-obligado-dejar-cargo_806162.html",http://www.elperiodicoextremadura.com/noticias/provinciabadajoz/alcalde-monterrubio-condenado-prevaricacion-obligado-dejar-cargo_806162.html, Monterrubio, PSOE, Badajoz
325,326, 2014," Condenado el alcalde de El Garrobo, D. Bernardo Harlcón Moreno,  por contratación ilegal en el consistorio a miembros de su familia. http://www.lavanguardia.com/local/sevilla/20140515/54407947140/condenado-el-garrobo-contrataciones-ilegales.html",http://www.lavanguardia.com/local/sevilla/20140515/54407947140/condenado-el-garrobo-contrataciones-ilegales.html, El Garrobo, PSOE, Sevilla
326,327, 2014 Julio," El Ex-alcalde de Valle Gran Rey, Ruymán García, ha sido detenido e ingresado en prisión. El exregidor de Valle Gran Rey fue condenado en sentencia firme a cuatro años, seis meses y un día de cárcel por un delito de malversación de caudales públicos.
http://www.gomeraactualidad.com/articulo/la-gomera/ex-alcalde-valle-gran-rey-ruyman-garcia-ha-sido-detenido-ingresado-prision/2014070221205610433.html",http://www.gomeraactualidad.com/articulo/la-gomera/ex-alcalde-valle-gran-rey-ruyman-garcia-ha-sido-detenido-ingresado-prision/2014070221205610433.html, Valle Gran Rey (La Gomera), Coalición Canaria, Santa Cruz de Tenerife
327,328, 2007," Caso Virgin, corrupción urbanística en Mugardos http://www.lavozdegalicia.es/galicia/2007/12/19/00031198062088510765844.htm",http://www.lavozdegalicia.es/galicia/2007/12/19/00031198062088510765844.htm, Mugardos, BNG, A Coruña
328,329, 2013, María Faraldo dimite como diputada autonómica por presunta prevaricación en su etapa como alcaldesa de Betanzos. http://ccaa.elpais.com/ccaa/2014/07/02/galicia/1404310134_096769.html,http://ccaa.elpais.com/ccaa/2014/07/02/galicia/1404310134_096769.html, Betanzos, PP, A Coruña
329,330, 2014,"  Carlos Fabra, condenado a 3 años de prisión por defraudar 700 000 euros a hacienda http://ccaa.elpais.com/ccaa/2013/11/25/valencia/1385380883_196537.html",http://ccaa.elpais.com/ccaa/2013/11/25/valencia/1385380883_196537.html, Valencia, PP, Valencia
330,331, 2014," Jose Benlloch, investigado por malversacion y falsedad documental en la contratación de una coach http://www.elmundo.es/comunidad-valenciana/2014/11/28/54782e8be2704ee3448b456e.html",http://www.elmundo.es/comunidad-valenciana/2014/11/28/54782e8be2704ee3448b456e.html, Vila-real, PSOE, Castellón
331,332, 2014," Imputado el alcalde Francisco Góngora por blanqueo de capitales, tráfico de influencias, falsedad en documento público y un delito contra la Hacienda pública
http://ccaa.elpais.com/ccaa/2014/07/22/andalucia/1406059450_343945.html",http://ccaa.elpais.com/ccaa/2014/07/22/andalucia/1406059450_343945.html, El Ejido, PP, Almería
332,333, 2015," Detenida una exconcejal del PP de Alcalá de Henares por amañar contratos; Se trata de Virginia Sanz, que fuera hasta junio de 2015 Concejal de Festejos, Juventud y Deportes
http://www.abc.es/madrid/20150623/abci-detencion-exconcejal-contratos-201506232101.html",http://www.abc.es/madrid/20150623/abci-detencion-exconcejal-contratos-201506232101.html, Alcalá de Henares, PP, Madrid
