,caso,fecha,informacion,link,localidad,partido,provincia
47,48,2007 Marzo,"Imputado el ex alcalde José Guerrero un concejal y empresarios. Cohecho, prevaricación y fraude. Irregularidades en las obras del polígono industrial de Marchalendín",,Alhedín,PP,Granada
48,49,2009 Febrero,políticos socialistas de 450.000 euros a dos empresarios a cambio de subvenciones de la Junta. Trato de favor a una constructora.,,Sevilla,PSOE,Sevilla
49,50,2006 Julio,"Imputado el ex alcalde José Luis Martín. Prevaricación, cohecho y delitos contra la Hacienda Pública. Recalificación de dos millones de metros cuadrados para construir 13.500 viviendas.",,Seseña,PSOE,Toledo
50,51,2005 Julio,"El alcalde y senador, Diego García Caro, imputado junto con otras tres personas. Cobro de la subvención para construir un centro médico cuya obra no se empezó. Falsificación en documento público.",,Hellín,PSOE,Albacete
51,52,2009 Octubre/2006 Noviembre,"Condenado a 4 años de cárcel el ex alcalde Eugenio Hidalgo. Corrupción urbanística. La Fiscalía acusa al ex presidente del Gobierno Balear, Gabriel Cañellas de irregularidades en su gestión.",,Andratx,PP,Mallorca
52,53,2009 Agosto,"Caso Palma Arena: Imputado, entre otros, el ex presidente de Baleares Jaume Matas. Engordaron el precio del velódromo en 52 millones.[13]",http://www.elpais.com/articulo/espana/Episodios/escandalo/activo/caso/Palma/Arena/elpepiesp/20100322elpepinac_4/Tes,Palma,PP,Mallorca
53,54,2008,Imputado el ex-conseller del Gobierno balear Bartolomeu Vicens (UM) por irregularidades urbanísticas con plusvalías superiores a 300 millones.,,Palma,Unió Mallorquina,Mallorca
54,55,2008,"Imputados el consejero del Gobierno balear Josep Juan Cardona, y varios concejales. Adjudicación irregular de contratos a empresas.",,Palma,PP,Mallorca
55,56,2008,"Imputados el consejero del Gobierno balear Josep Juan Cardona, y varios concejales. Adjudicación irregular de contratos a empresas.",,Palma,PP,Mallorca
56,57,2009 Octubre,"Imputada la presidenta del Parlamento Balear, Mª Antonia Munar, cinco políticos y empresarios por la venta de solares públicos por la mitad del precio.",,Palma,Union Mallorquina,Mallorca
57,58,2008,Imputado el ex alcalde Xicu Tarrés. Adjudicación irregular y cobro de comisiones en la adjudicación del proyecto de remodelación del centro de la ciudad.,,Ibiza,PSOE,Ibiza
58,59,2007 Febrero,"Imputado el alcalde, Juan Ramírez. Prevaricación y tráfico de influencias. Recalificación de una finca protegida para urbanización de lujo.",,Águilas,PP,Murcia
59,60,2007 Diciembre,"Imputado el alcalde, José Martínez Andreo, que en la actualidad está en libertad con cargos. Delitos de cohecho y prevaricación. Intento de cobro de comisiones a cambio de la recalificación de terrenos.",,Totana,PP,Murcia
60,61,2008 Abril,"Imputado el ex alcalde Daniel García Madrid, junto con un arquitecto técnico. Prevaricación y malversación en permutas de terrenos.
[14]Se presenta como candidato en las próximas elecciones.",http://www.diariocritico.com/ocio/2011/Febrero/noticias/253393/el-pp-murcia-tendra-en-sus-listas-a-imputados-por-corrupcion.html,Torre Pacheco,PP,Murcia
61,62,2008 Enero,Imputado el ex alcalde Juan Escudero y un arquitecto municipal. Delitos fraude y cohecho. Venta irregular de una parcela municipal.,,Los Alcázares,PSOE,Murcia
62,63,2008 Noviembre,"Detenidos el alcalde, José Martínez García, y el teniente de alcalde y concejal de Urbanismo, Pedro Martínez. Delitos de cohecho y blanqueo. Cobro de comisiones a una empresa a cambio de contratos municipales.",,Librilla,PP,Murcia
63,64,2011 Febrero,"El alcalde del PSOE, Miguel Castellano, denunciado por el PP. Por la venta de suelo público a precio rural y posterior recalificación una vez vendido el terreno. Presunta comisión de los delitos de prevaricación, contra la Hacienda Pública y tráfico de influencias.",http://www.ideal.es/agencias/20110211/local/granada/juez-indicios-delito-actuacion-alcalde_201102111545.html,Loja,PSOE,Granada
64,64,2011 Enero,La Fiscalía Anticorrupción de Toledo ha presentado contra Alejandro Pompa y contra los concejales de su grupo de gobierno una denuncia por prevaricación y malversación de fondos públicos ante el Juzgado de Instrucción número 2 de Illescas a instancias del Tribunal de Cuentas. Informe Abudilla,http://contracorruptos.blogspot.com/2007/10/alejandro-pompa-curriculum.html,Carranque,PSOE,Toledo
65,65,2010 Marzo," * El alcalde de Cuenca, imputado por prevaricación",http://www.publico.es/espana/300855/el-alcalde-de-cuenca-imputado-por-prevaricacion,Cuenca,PP,Cuenca
66,66,2010 Noviembre, * El alcalde y los 11 ediles del PSOE de Villarrobledo serán procesados. Están acusados de un presunto delito de prevaricación urbanística,http://www.abc.es/20101022/comunidad-castillalamancha/alcalde-ediles-psoe-villarrobledo-20101022.html,Villarrobledo,PSOE,Albacete
67,67,2011 Enero," * El ex consejero de Educación está acusado de prevaricación, cohecho, tráfico de influencias, fraudes y exacciones ilegales y negociaciones prohibidas para funcionarios",http://www.lne.es/asturias/2011/01/25/prision-provisional-comunicada-fianza-ex-consejero-iglesias-riopedre/1024681.html,Asturias,PSOE,Asturias
68,68,2010 Noviembre, * El fraude de la basura de Calp ya alcanza los  once millones,http://www.levante-emv.com/comarcas/2010/11/16/fraude-basura-calp-alcanza-once-millones/757344.html,Calpe,PP,Alicante
69,69,2011 Febrero," * Comienza el juicio del caso Limusa. Entre los acusados están Francisco Gil Eguino, que fue director de la citada empresa; el diputado regional socialista Bartolomé Soler y el ex alcalde de Lorca, Miguel Navarro, también del PSOE.",http://eslocal.es/2011/02/07/comienza-el-juicio-del-caso-limusa/,Lorca,PSOE,Murcia
70,70,2006 Noviembre, * El hijo del alcalde de Valladolid y la del consejero de Agricultura de la Junta de Castilla y León consiguen pisos de protección oficial. ,http://www.cadenaser.com/articulo/espana/Familiares/altos/cargos/PP/consiguen/pisos/proteccion/oficial/Valladolid/csrcsrpor/20061117csrcsrnac_6/Tes/,Valladolid,PP,Valladolid
71,71,2011 Enero, * presunto desvío de fondos públicos que podría superar el millón de euros. ,http://www.elmundo.es/elmundo/2011/01/13/baleares/1294912243.html,Baleares,Unió Mallorquina,Baleares
72,72,2011 Enero," * La alcaldesa socialista de Plasencia, imputada por corrupción.
Elia María Blanco, es candidata en las próximas elecciones a pesar de estar imputada por prevaricación administrativa, tráfico de influencias, fraudes y exacciones ilegales y malversación de caudales públicos. [15]
La alcaldesa propone que el ayuntamiento pague la defensa de políticos en procesos penales. PSOE a favor, y abstención del PP.[16]",http://www.actualidadextremadura.com/extremadura/plasencia/3034-la-alcaldesa-socialista-de-plasencia-imputada-por-corrupcion.html,Plasencia,PSOE,Extremadura
73,73,2009 Enero,Admiten a trámite una querella por prevaricación contra seis ediles de Barakaldo,http://www.elcorreo.com/vizcaya/v/20110209/margen-izquierda/admiten-tramite-querella-prevaricacion-20110209.html,Vizcaya,PSOE y PP,Baracaldo
74,74,2011 Febrero, La Xunta de Galicia confirma la sanción a la constructora del candidato a la alcaldía del PP por sobreprecio en pisos protegidos.,http://www.elpais.com/articulo/Galicia/Xunta/confirma/sancion/constructora/Telmo/Martin/elpepuespgal/20110208elpgal_6/Tes,Sanxenxo,PP,Galicia
75,75,2006 Febrero," El alcalde de Sanxenxo recalifica su humedal y lo vende por 2,8 millones .",http://www.elpais.com/articulo/espana/alcalde/Sanxenxo/recalifica/humedal/vende/28/millones/elpepiesp/20061212elpepinac_4/Tes,Sanxenxo,PP,Galicia
76,76,2007 Mayo," Fraude multimillonario PNV hacienda Irún  [17]  [18]
Perjudicados en el fraude de la Hacienda de Irun afirman ante el juez que pagaron a Bravo en metálico",http://www.elcorreo.com/vizcaya/prensa/20070516/portada_viz/supuesto-cerebro-fraude-irun_20070516.html/,Irún,PNV,P. Vasco
77,77,2011 Febrero, La hija de un asesor de Baltar opta a una plaza con su padre en el tribunal,http://www.elpais.com/articulo/Galicia/hija/asesor/Baltar/opta/plaza/padre/tribunal/elpepuespgal/20110210elpgal_1/Tes/,Ourense,PP,Galicia
78,78,2011 Enero, Un cuñado de Baltar Blanco dirigirá la política de personal de la Diputación,http://www.elpais.com/articulo/Galicia/cunado/Baltar/Blanco/dirigira/politica/personal/Diputacion/elpepuespgal/20110121elpgal_4/Tes/,Orense,PP,Galicia
79,79,2009 Julio / 2013 Abril," Familiares de los alcaldes más fieles a Baltar sacan plaza en la Diputación --- Actualización 2013 :
El Juez ordena el procesamiento de Baltar por 109 ""enchufes"" en la administracion pública http://ccaa.elpais.com/ccaa/2013/04/12/galicia/1365757558_216829.html",http://www.elpais.com/articulo/Galicia/Familiares/alcaldes/fieles/Baltar/sacan/plaza/Diputacion/elpepuespgal/20090721elpgal_7/Tes,Orense,PP,Galicia
80,80,2008,"Museo Balenciaga, pendiente de juicio
El escándalo Balenciaga
La Fiscalía de Gipuzkoa responsabiliza al alcalde de Getaria de la comisión de cinco delitos. Según la querella, Camio causó «graves daños» a los promotores del museo",http://www.elpais.com/articulo/reportajes/escandalo/Balenciaga/elpepucul/20081221elpdmgrep_6/Tes,Getaria,PNV,P. Vasco
81,81,2012/1996,"Caso Margüello / Trama Bengoa, pendiente de juicio
¿Podemos hablar más de “TRAMA BENGOA” que de “CASO MARGÜELLO”?La trama Bengoa del “caso Margüello” (2): Ni el Ararteko se lo cree
La trama Bengoa del “Caso Margüello” (3)
La trama Bengoa del “Caso Margüello”
LA “IMPARCIALIDAD” DE LA COMISIÓN DE INVESTIGACIÓN, A ANÁLISIS",http://arabatik.wordpress.com/2010/07/01/la-trama-bengoa-del-caso-margello/,P. Vasco,PSE-PSOE,P. Vasco
82,82,2010,"Caso Zambrana, pendiente de juicio
El juez decide investigar la oscura operación urbanística de Zambrana
El PNV alavés apostó por el oscuro plan de Zambrana pese al 'no' del Gabinete Ibarretxe
Aitor Abecia, Alcalde de Zambrana (independiente): «Antes de comparecer en las Juntas, el PNV me ofreció un pacto electoral»
El grupo inversor de Zambrana financió a excargos del PNV para la compra de fincas",http://www.elcorreo.com/vizcaya/v/20100915/politica/juez-decide-investigar-oscura-20100915.html,Alava,PNV,P. Vasco
83,83,2010,"Caso 'De Miguel', pendiente de juicio
Un juez pone en libertad con cargos a ocho significados dirigentes del PNV de Álava
Una empresaria grabó a imputados en el 'caso De Miguel' pidiéndole comisiones
«Tienes que pagar, sí o sí»
El sumario sobre la supuesta red de corrupción incorpora como imputados a dos altos cargos del tripartito",http://www.elpais.com/articulo/pais/vasco/caso/corrupcion/golpea/PNV/elpepuespvas/20100318elpvas_2/Tes,Alava,PNV,P. Vasco
84,84,2010 Noviembre,Martina Gelabert ingresa en prisión por un desfalco de 500.000 euros,http://ultimahora.es/mallorca/noticia/noticias/part-forana/cuatro-anos-y-medio-de-carcel-para-la-recaudadora-de-sineu-tras-llegar-a-un-acuerdo-con-la-fiscalia.html,Sineu,Sineuers Independents,Baleares
85,85,2005/2004 Por fin fiscalizado," * La Fiscalía del Tribunal de Cuentas ve posibles ""infracciones penales"" en 26 contratos de la DGA(no punteado en el mapa)",http://www.heraldo.es/noticias/posibles_infracciones_penales_contratos_dga.html,Aragón,PSOE-PAR,Aragón
86,86,2008, * El Tribunal de Cuentas ha destapado una larga lista de irregularidades en la gestión en la Expo por parte del Ayuntamiento(no punteado en el mapa),http://www.heraldo.es/noticias/aragon/el_tribunal_cuentas_destapa_multiples_irregularidades_municipales_expo.html,Zaragoza,PSOE,Aragón
87,87,2008, * La juez mantiene la imputación por prevaricación contra el alcalde de Ocaña(no punteado en el mapa),http://www.abc.es/20081206/toledo-toledo/juez-mantiene-imputacion-prevaricacion-20081206.html,Ocaña,PP,Toledo
88,88,2010," * Delito continuado de malversación de caudales públicos en clubes de alterne y casas de masaje por parte del ex concejal Javier Rodrigo de Santos
Condenado a dos años de prisión y cuatro de inhabilitación por malversación de fondos públicos.
Condenado a trece años y medio de prisión por abusos sexuales a menores.",http://www.losgenoveses.net/Los%20Asuntillos/CasoBaleares/concejalprostibulos.htm,Palma,PP,Baleares
89,89,2003/1997," * inhabilitado por prevaricación. El alcalde reconoció ser propietario de tres casas y trece fincas, casi todas adquiridas después de su acceso al cargo y varias de las cuales fueron objeto de sus propias recalificaciones que aumentaron su valor. Es alcalde desde 1987 (excepto los seis años de inhabilitación, en los que ejerció de ""asesor"" de la alcaldesa de su partido).",http://archivo.lavozdeasturias.es/html/165392.html,Oleiros,Alternativa dos Veciños,La Coruña
90,90,2007,"* El 'caso Brugal' cerca al alcalde de Fortuna por pedir dinero para el PP. El Alcalde está siendo investigado por un presunto caso de corrupción en Fortuna (Murcia) por pedir dinero para el PP para financiar actos de la campaña electoral del 2007 a Ángel Fenoll (Caso Brugal), además es investigado por la presunta compra de votos en esas elecciones 'Pinchazos' a Fenoll apuntan a que compró votos para el PP en Fortuna y Santomera. Igualmente se investigan los intereses urbanísticos que tiene Fenoll en Fortuna Una empresa de Fenoll tiene intereses urbanísticos en Fortuna. Además se investiga la presunta adjudicación ""a dedo"" de la contrata de basuras Investigan irregularidades en la adjudicación de la contrata de basuras de Fortuna.",http://www.laverdad.es/murcia/v/20100801/region/caso-brugal-cerca-alcalde-20100801.html,Fortuna,PP,Murcia
91,91,2003,"* Video en el que la ex-concejal del PP confiesa y acusa al Alcalde, Matías Carrillo y familiares de presuntamente comprar votos en las elecciones del 2003. El Alcalde de Fortuna se encuentra imputado por una presunta compra de votos en las elecciones municipales de Mayo del 2003 en Fortuna (Murcia), a cambio presuntamente de vales de comida, puestos de trabajo, etc. Fiscal pide la inhabilitación y el arresto del alcalde de Fortuna (Murcia) y dos concejales por un delito electoral, además dentro de poco será juzgado por la presunta compra de votos en la Audiencia El alcalde será juzgado por compra de votos dentro de dos meses en la Audiencia, en la última declaración El alcalde declara cuatro horas como testigo por la compra de votos y resulta imputado y para terminar Un juez imputa al alcalde y a un edil en el caso de la presunta compra de votos.",http://www.youtube.com/watch?v=TDEQ9ToTylc,Fortuna,PP,Murcia
92,92,2010,*[19],http://www.farodevigo.es/galicia/2010/09/18/garcia-mata-dimite-imputado-prevaricacion-cohecho/473917.html,Ourense,BNG,Galicia
93,94,2010,"Alcalde, arquitecto municipal, secretario del Ayuntamiento y abogado de la oficina técnica municipal, imputados en cuatro casos de corrupción urbanística. Se les imputan delitos de prevaricación, falsedad documental y tráfico de influencias.[20]",http://www.abc.es/20110129/comunidad-canarias/abcp-imputan-alcalde-teror-cuatro-20110129.html,Teror (Gran Canaria),PSOE,Las Palmas
94,95,2010,El expediente de los Vallejo demuestra que la vicepresidenta era propietaria de fincas de viñedo ilegal. [21],http://www.larioja.com/v/20101216/rioja-region/expediente-vallejo-demuestra-vicepresidenta-20101216.html,La Rioja,PP,La Rioja
95,96,1997/1990,Condenado en 2004 el ex alcalde José Castro Álvarez junto a siete ex concejales. [22] (no se marca en el mapa por ser un caso anterior a 2005),http://www.xornal.com/artigo/2004/01/29/galicia/el-supremo-inhabilita-al-ex-alcalde-ponteareas-por-contratacion-ilegal/2004012917552700000.html,Ponteareas,PP,Pontevedra
96,97,2010,"Condenado el ex alcalde Pedro Martín González Mirón por la concesión de cuatro licencias de obras ""manifiestamente contrarias a las normas urbanísticas"". [23] El PSOE homenajea al condenado [24]",http://www.hoy.es/20100729/local/alcalde-ceclavin-condenado-ocho-201007291313.html,Ceclavín,PSOE,Cáceres
97,98,2010,"Condenados a penas de 3 a 6 años de cárcel el ex alcalde Lluc Tomás (PP), el ex concejal Joaquín Rabasco (ASI) y la ex secretaria de Rabasco, María del Amor Aldao. [25]",http://www.publico.es/espana/348598/condenado-por-malversacion-un-ex-alcalde-del-pp-balear,Llucmajor,PP-ASI,Baleares
98,99,2011,"Vuelve a presentarse como candidato a la alcaldía Juan Sevillano, previamente condenado por prevaricación. [26]",http://www.diariodecadiz.es/article/provincia/884584/psoe/recupera/como/candidato/ex/alcalde/bornos/fue/inhabilitado.html,Bornos,PSOE,Cádiz
99,100,2010,Condenados dos coordinadores del PP por manipular el voto de 19 ancianos. [27],http://www.cadenaser.com/espana/articulo/supremo-ratifica-condena-militantes-pp-baeza-manipularon-voto-ancianos/csrcsrpor/20100112csrcsrnac_12/Tes/?print=1,Baeza,PP,Jaen
100,101,2010,Condenado el ex alcalde Jorge Luis Fernández a un año de prisión y ocho de inhabilitación por delito urbanístico. [28],http://www.diariosur.es/20100427/local/axarquia/condenado-alcalde-salares-prision-201004271818.html,Salares,PP,Málaga
101,102,2009," * El ex-alcalde de Santurde de Rioja condenado a pagar una multa de 73.000 euros y a tres años de inhabilitación * La sentencia contra el ex alcalde de Santurde * PARTIDO SOCIALISTA DE LA RIOJA.El PP sigue respaldando la corrupción. El PSOE le recuerda a Cuevas que alcaldes del PP como los de Santurde, Casalarreina, Tirgo o Lardero han sido inhabilitados o condenados por la justicia * Mas en una busqueda en google",http://www.radioharo.com/etiquetas/santurde-de-rioja/,Santurde,PP,La Rioja
102,103,2011,"Caso Urchueguía - Presunto desvío de fondos de cooperación con países en desarrollo
Ana Urchueguía compró una de las mayores fincas de Nicaragua a la ONG que tutelaba desde Lasarte-Oria
Doña Ana, la ganadera
Documento del Registro de la Propiedad",http://www.noticiasdegipuzkoa.com/2011/02/25/politica/euskadi/urchueguia-compro-una-de-las-mayores-fincas-de-nicaragua-a-la-ong-que-tutelaba-desde-lasarte-1,Lasarte,PSOE,P. Vasco
103,104,2010 Noviembre,Nuevo escándalo de corrupción en el PSOE castellano-manchego,http://www.periodistadigital.com/castilla-la-mancha/ciudad-real/2010/11/23/psoe-valdepenas-alcalde-martin-jesus-secretario-ciudad-real-corrupcion-europa-press.shtml,Valdepeñas,PSOE,Ciudad-Real
104,105,2011 Febrero,"Apertura de Juicio por provaricación: Concejala del PP tiraba a la paplera, o resolvía arbitrariamente, los expedientes de la oficina municipal de información al consumidor",http://www.lne.es/oviedo/2011/02/27/audiencia-juzgara-prevaricacion-conchita-garcia/1039155.html,Oviedo,PP,Asturias
105,106,2005/1998,"Empresa minera recibe dinero público (aprox. 1,5 M€) para efecturar unas restauraciones que nunca se llevaron a cabo",http://www.elcomerciodigital.com/v/20110226/occidente/varias-pintadas-edificios-cangas-20110226.html,Cangas del Narcea,PSOE,Asturias
106,107,2011 Febrero,contrata a una empresa investigada por corrupción en Granada,http://www.elpais.com/articulo/madrid/Mostoles/contrata/empresa/investigada/corrupcion/Granada/elpepuespmad/20070522elpmad_17/TesMóstoles,Mostoles,PP,Madrid
107,108,2011 Febrero,Detenida la ex número dos de UM en el Ayuntamiento de Palma por trama de compra de votos. ,http://www.elpais.com/articulo/espana/Detenida/ex/numero/UM/Ayuntamiento/Palma/trama/compra/votos/elpepuesp/20110228elpepunac_3/Tes,Palma,UM,Mallorca
108,109,2010,Condenado por prevaricación el ex alcalde de Benimarfull,http://www.diarioinformacion.com/alcoy/2010/11/27/condenado-prevaricacion-ex-alcalde-benimarfull/1069556.html,Benimarfull,PP,Alicante
109,110,2010,"Condena por prevaricación al alcalde de Fontanarejo
Barreda respalda y pone como ejemplo de gestión a un alcalde condenado por prevaricación",http://www.dclm.es/news/145/ARTICLE/61442/2010-04-14.html,Fontanarejo,PSOE,Ciudad Real
110,111,2003,Condenado a 12 años el alcalde del PP de Torrelaguna por prevaricación (no se marca en el mapa por ser un caso anterior a 2005),http://www.diariodeleon.es/noticias/noticia.asp?pkid=72534,Torrelaguna,PP,Madrid
111,112,2011,Ex concejal Jorge Barbadillo Griñán condenado a un año y medio de prisión por malversación,http://www.abc.es/20110215/local-madrid/abci-condena-malversacion-201102151243.html,Madrid,PP,Madrid
112,113,2006,Seis condenados por cohecho. Entre ellos dos alcaldes. [29],http://es.wikipedia.org/wiki/Caso_Sanl%C3%BAcar,Sanlúcar de Barrameda,PSOE,Cádiz
113,114,2006,Condenado a cárcel e inhabilitación el alcalde Jacinto Gómez[30],http://www.tribuna.net/noticia/28660/PROVINCIA/alcalde-condenado-carcel-inhabilitacion-delito-ecologico.html,Montemayor del Río,PP,Salamanca
114,115,2011,"José Miguel Muñoz, condenado a nueve meses de cárcel por desobediencia grave a la autoridad por no aplicar adecuadamente los procedimientos administrativos. La sentencia absuelve al alcalde del delito de prevaricación urbanística, lo que demuestra que fue víctima de una cacería política por parte del PP. Leer noticia completa en: http://granadinos.es/gr/?p=5240","http://granadinos.es/gr/?p=5240,",Zafarraya,PSOE,Granada
115,116,2005,"El alcalde de Zafarraya, Salvador Zamora Pardo y tres de sus concejales, condenados a entre 7 y 8 años de inhabilitación por prevaricación y coacciones",http://www.alhama.com/digital/gestionar-o-crear-tu-blog/Inhabilitado-por-prevaricaciA-n-el-alcalde-de-Zafarraya.html,Zafarraya,PSOE,Granada
116,117,2009,"El ex alcalde José Antonio Rodríguez Ferreiro entra en prisión con una condena de 5 años por malversación
Se le concede el tercer grado tras sólo un año.[31]
Pierde el tercer grado por introducir alcohol en la prisión.[32]",http://www.lavozdegalicia.es/galicia/2009/07/01/0003_7819995.htm,Os Blancos,PP,Orense
117,118,2010,El ex alcalde Ciprià Fluixà ingresará en prisión por delito medioambiental,http://www.levante-emv.com/comunitat-valenciana/2010/09/09/ex-alcalde-xeresa-ingresara-prision-ver-rechazado-ultimo-recurso/737498.html,Xeresa,PP,Valencia
118,119,2007,"El alcalde Manuel Vilanova, condenado a un año y medio de prisión y ocho años de inhabilitación por prevaricación",http://www.elperiodicodearagon.com/noticias/noticia.asp?pkid=293969,Villarreal,PP,Castellón
119,120,2009,"Condenado el ex alcalde Juan José López a 8 años de inhabilitación y multa de 4.500€ por delito urbanístico
Más causas pendientes por concesión de licencias ilegales.",http://www.abcdesevilla.es/20090511/sevilla-provincia/condenado-alcalde-burguillos-ocho-200905111851.html,Burguillos,PSOE,Sevilla
120,121,2010,Condenado el alcalde Antonio Gregorio Díaz a 7 años de inhabilitación y multa de 4.500€ por delito urbanístico,http://www.diariosur.es/v/20100428/malaga/alcalde-canillas-albaida-quinto-20100428.html,Canillas de Albaida,PP,Málaga
121,122,2010,Condenado el alcalde Roberto Vázquez Souto a un año de suspensión y multa de 3.600€ por contratar obras a sus empresas,http://www.lavozdegalicia.es/galicia/2010/04/10/0003_8407722.htm,Portas,PP,Pontevedra
122,123,2011,Condenado a 6 meses de prisión el alcalde José Miranda Reigada por delito urbanístico,http://www.europasur.es/article/espana/349591/condenado/seis/meses/prision/ex/alcalde/pp/asturias.html,Ribadesella,PP,Asturias
123,124,2009,"El alcalde Víctor Sánchez, condenado a tres años de prisión y multa de 12.000€.
Nuevo caso (2011):Declara como imputado por estafa y prevaricación urbanística el ex alcalde Víctor Sánchez",http://www.elpais.com/articulo/espana/alcalde/Atarfe/dimite/ser/condenado/anos/prision/elpepuesp/20091216elpepunac_28/Tes,Atarfe,PSOE,Granada
124,125,2005,"Condenado el alcalde Cristobal Fernandez y su hermana y concejala Rosario, a seis meses de inhabilitación por delito electoral

Indultados por el Gobierno
Condenado Cristobal Fernández en 2008 por calumnias a un magistrado
Ratificada en 2009 la condena a Cristobal Fernández por parte de la Audiencia Provincial
Nuevo procedimiento contra Rosario Fernández por otro delito electoral.",http://www.lukor.com/not-esp/locales/0502/07095420.htm,Carboneras,PSOE,Almería
125,126,2009,"Imputado el alcalde de Cartaya, Juan Antonio Millán por delitos urbanísticos: prevaricación y contra la ordenación del territorio. También imputado el primer teniente alcalde Miguel Novoa Sierra.
[33]",http://noticias.terra.es/mundo/2009/0525/actualidad/el-juzgado-admite-la-denuncia-contra-el-alcalde-de-cartaya-por-delitos-urbanisticos.aspx,Cartaya,PSOE,Huelva
126,127,2010,Condenado a 15 meses de prisión y 7 años de inhabilitación el ex alcalde Agustín Cubillo por delito continuado de prevaricación.,http://www.ideal.es/jaen/20101109/local/provincia-jaen/condenado-meses-carcel-alcalde-201011092051.html,Cambil,PSOE,Jaén
127,128,2011,Condenado el alcalde Juan Millán a 15 años de inhabilitación por dos delitos de prevaricación urbanística.,http://www.laopiniondemalaga.es/axarquia/2011/02/16/dimite-alcalde-vinuela-condenado/399886.html,La Viñuela,PSOE,Málaga
128,129,2009,"Condenado a seis meses de inhabilitación y multa de 720€ el alcalde Alonso Rojas por un delito de desobediencia
Nueva condena a Alonso Rojas: dos años y medio de inhabilitación por delito continuado contra los derechos cívicos.",http://www.que.es/cadiz/200902041234-alcalde-barrios-condenado-seis-meses.html,Los Barrios,PSOE,Cádiz
129,142,"2011, trama de corrupción urbanística",Cinco detenidos en una operación contra el urbanismo ilegal en Cádiz [34],http://www.publico.es/364060/cinco-detenidos-en-una-operacion-contra-el-urbanismo-ilegal-en-cadiz,Puerto de Santa María,IP (Independientes Portuenses),Cádiz
130,130,2010,Condenados a 9 meses de prisión y 3 años y medio de inhabilitación el ex alcalde José Manuel Aviñó (PSOE) y el ex concejal Manuel Paredes (PP) por malversación de caudales públicos.,http://www.noticiasaljarafe.es/municipios/isla-mayor/condenado-el-ex-alcalde-de-isla-mayor-por-un-pago-irregular-tras-las-elecciones-de-/3612.html,Isla Mayor,PP-PSOE,Sevilla
131,131,2008,Condenado el alcalde Luis Gómez Rodríguez y otros 5 concejales a 8 y 7 años de inhabilitación por prevaricación.,http://www.soitu.es/soitu/2008/04/14/info/1208181428_230269.html,Portillo,PP,Toledo
132,132,2009,Condenado el alcalde José Luis Navas a un año de prisión y nueve de inhabilitación por prevaricación urbanística.,http://www.noticiasdemalaga.es/__n986028__El_alcalde_de_Sayalonga_deja_la_Alcaldia_al_ser_condenado_a_un_ano_de_carcel.html,Sayalonga,PSOE,Málaga
133,133,2009,"La ex alcaldesa Ana María Moreno, condenada a 21 años de inhabilitación y multa de  2.190€ tras admitir haber concedido licencias ilegales.",http://www.elmundo.es/elmundo/2011/01/10/andalucia/1294663089.html,Porcuna,PSOE,Jaén
134,134,2010,Condenado el alcalde José Manuel Aranda a nueve años de inhabilitación y multa de 3.600€ por prevaricación urbanística.,http://www.correodelaaxarquia.com/axarquia/421-la-audiencia-condena-al-alcalde-de-canillas-de-aceituno-por-prevaricacion-urbanistica.html,Canillas de Aceituno,PSOE,Málaga
135,135,2008,"Caso Lasarte:
La investigación sobre el 'caso Lasarte' se salda con nueve funcionarios implicados.
Más info (no se marca por no ser políticos implicados, sino funcionarios)",http://www.elmundo.es/elmundo/2008/08/14/castillayleon/1218741687.html,León y Palencia,PP,León
136,136,2010,Condenado el ex alcalde Roberto Salinas a 8 años de inhabilitación por prevaricación.,http://www.radioharo.com/2010/09/15/roberto-salinas-asegura-que-no-piensa-dejar-su-acta-de-concejal/,Briñas,PSOE,La Rioja
137,137,2010,Condenada a seis años de prisión la ex concejala Raquel Martínez Duval por estafa.,http://www.elpais.com/articulo/pais/vasco/Condenada/anos/estafa/ex/concejal/PP/Vitoria/elpepiesppvs/20100410elpvas_3/Tes,Vitoria,PP,Álava
138,138,2008,Condenado a dos años de inhabilitación el ex concejal Luis María Huete por prevaricación.,http://terranoticias.terra.es/nacional/articulo/condenado-pp-madrid-2517315.htm,Madrid,PP,Madrid
139,139,2011,"Condenada la alcaldesa Consuelo Mendienta por coacciones a una concejala de la oposición. [Esto no es del todo cierto. Yo estube en dicho pleno, y no hubo ninguna agresion. Este es un ejemplo del poder de manipulacion de los medios. Además, la Alcaldesa ya no pertenece al PP por no estar de acuerdo con sus formas de hacer las cosas.]",http://www.diariodealcala.es/articulo/camarma/5877/condenan-a-consuelo-mendieta-por-coaccionar-a-una-concejala-del-psoe,Camarma,PP,Madrid
140,140,2005,"Condenado el alcalde Juan José Cazorla a un año y medio de prisión, seis años de inhabilitación, y multa de 270.000€ por cohecho.",http://www.canarias7.es/pdf/docs/sentenciaalcaldeantigua.pdf,Antigua (Fuerteventura),PP,Las Palmas
141,142,2010,Condenado José Luis del Ojo (ex diputado y ex concejal de urbanismo) a 7 años de inhabilitación por prevaricación.,http://www.europapress.es/nacional/noticia-av-ex-diputado-pp-jose-luis-ojo-condenado-siete-anos-inhabilitacion-prevaricacion-20101214124753.html,Ogíjares,PP,Granada
